Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Unnamed: 48,Normalized Value (nM),Log10 Value (nM),Deviation_from_mean,Deviation_from_median,Mean_log10,Median_log10,Std_log10,Anderson_stat,Anderson_critical_value_5pct,Skewness,Kurtosis,Category,Subcategory
CHEMBL480267,LUPULONE,,414.59,1.0,6.86,6,CC(C)=CCC1=C(O)C(C(=O)CC(C)C)=C(O)C(CC=C(C)C)(CC=C(C)C)C1=O,IC50,'=',25000.0,nM,4.60,,,UO_0000065,,,,,0.0,CHEMBL1785652,Antioxidant activity assessed as DPPH radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL613712,Radical scavenging activity,,UNKNOWN,CHEMBL1781983,1,Scientific Literature,J Nat Prod,2009,,,,,25.0,,25000.0,4.398,-0.1410525221357668,-0.1299999999999999,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL512227,HUMULONE,,362.47,0.0,3.63,1,CC(C)=CCC1C(=O)C(C(=O)CC(C)C)=C(O)C(O)(CC=C(C)C)C1=O,IC50,'=',32000.0,nM,4.50,,,UO_0000065,,,,,0.0,CHEMBL1785652,Antioxidant activity assessed as DPPH radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL613712,Radical scavenging activity,,UNKNOWN,CHEMBL1781983,1,Scientific Literature,J Nat Prod,2009,,,,,32.0,,32000.0,4.505,-0.0340525221357665,-0.0229999999999996,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL3608626,,,312.35,0.0,2.53,"Figure 20,2",Oc1ccc(-c2nnc(S)n2/N=C/c2cccc(O)c2)cc1,IC50,'=',20.0,ug.mL-1,,,,UO_0000274,,,,,0.0,CHEMBL3609953,Antioxidant activity assessed as hydrogen peroxide scavenging activity,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL3608236,1,Scientific Literature,Eur J Med Chem,2015,,,,,20.0,,64030.735,4.806,0.2669474778642335,0.2780000000000004,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL2337630,,,280.28,0.0,1.61,5,CCOC(=O)C(=Cc1ccc(O)c(O)c1)C(=O)OCC,IC50,'=',21100.0,nM,4.68,,,UO_0000065,,,,,0.0,CHEMBL2343224,Antioxidant activity assessed as inhibition of ABTS radical formation for 15 mins by spectrophotometric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL2331554,1,Scientific Literature,Eur J Med Chem,2013,,,,,21.1,,21100.0,4.324,-0.2150525221357666,-0.2039999999999997,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL17347,ETHYL CAFFEATE,,208.21,0.0,1.67,4,CCOC(=O)/C=C/c1ccc(O)c(O)c1,IC50,'=',22600.0,nM,4.65,,,UO_0000065,,,,,0.0,CHEMBL2343224,Antioxidant activity assessed as inhibition of ABTS radical formation for 15 mins by spectrophotometric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL2331554,1,Scientific Literature,Eur J Med Chem,2013,,,,,22.6,,22600.0,4.354,-0.1850525221357664,-0.1739999999999995,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL153,TROLOX,,250.29,0.0,2.49,Trolox,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,IC50,'=',26300.0,nM,4.58,,,UO_0000065,,,,,0.0,CHEMBL2343224,Antioxidant activity assessed as inhibition of ABTS radical formation for 15 mins by spectrophotometric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL2331554,1,Scientific Literature,Eur J Med Chem,2013,,,,,26.3,,26300.0,4.42,-0.1190525221357665,-0.1079999999999996,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL145,CAFFEIC ACID,3.0,180.16,0.0,1.20,3,O=C(O)/C=C/c1ccc(O)c(O)c1,IC50,'=',17900.0,nM,4.75,,,UO_0000065,,,,,0.0,CHEMBL2343224,Antioxidant activity assessed as inhibition of ABTS radical formation for 15 mins by spectrophotometric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL3879801,NON-PROTEIN TARGET,,NON-MOLECULAR,CHEMBL2331554,1,Scientific Literature,Eur J Med Chem,2013,,,,,17.9,,17900.0,4.253,-0.2860525221357664,-0.2749999999999994,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL3753580,,,254.37,0.0,2.34,2,C=C[C@](C)(O)C[C@@H](O)/C=C(\C)[C@@H](O)CC=C(C)C,IC50,'=',23500.0,nM,4.63,,,UO_0000065,,,,,0.0,CHEMBL3757643,Antioxidative activity of the compound assessed as DPPH radical scavenging activity,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL3751791,1,Scientific Literature,Bioorg Med Chem Lett,2016,,,,,23.5,,23500.0,4.371,-0.168052522135766,-0.1569999999999991,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL3752993,,,330.47,0.0,1.67,4,CC/C=C/C[C@H](O)/C=C/[C@H](O)[C@H](O)[C@H](O)CCCCC[C@H](C)O,IC50,'=',25400.0,nM,4.59,,,UO_0000065,,,,,0.0,CHEMBL3757643,Antioxidative activity of the compound assessed as DPPH radical scavenging activity,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL3751791,1,Scientific Literature,Bioorg Med Chem Lett,2016,,,,,25.4,,25400.0,4.405,-0.1340525221357662,-0.1229999999999993,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL284616,CHLOROGENIC ACID,2.0,354.31,1.0,-0.65,Chlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,IC50,'=',56400.0,nM,4.25,,,UO_0000065,,,,,0.0,CHEMBL3757643,Antioxidative activity of the compound assessed as DPPH radical scavenging activity,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL3751791,1,Scientific Literature,Bioorg Med Chem Lett,2016,,,,,56.4,,56400.0,4.751,0.2119474778642338,0.2230000000000007,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL3754211,,,514.61,2.0,0.95,7,C=C[C@](C)(CC/C=C(\CO)CC/C=C(\C)C[C@@H](O)/C=C(\C)C(=O)O)O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',40200.0,nM,4.40,,,UO_0000065,,,,,0.0,CHEMBL3757643,Antioxidative activity of the compound assessed as DPPH radical scavenging activity,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL3751791,1,Scientific Literature,Bioorg Med Chem Lett,2016,,,,,40.2,,40200.0,4.604,0.0649474778642336,0.0760000000000005,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango inferior medio - potencia
