Smiles,Log10 Value (nM),Category,subcategoria_nombre
Cc1ccc2[nH]c(=O)c(/C=N/CCO)cc2c1,6.622,Alto,Valores Bajos - Potencia
NC(CCC(=O)n1c(Cc2ccccc2)nc2ccccc2c1=O)C(=O)O,4.996,Alto,Rango Superior Medio - Potencia
CCOC(=O)N1CCC(=NNC(=O)c2ccc(C(F)(F)F)cc2F)CC1,4.889,Alto,Valores Altos - Potencia
O=C1CSc2ccccc2N1Cc1cn(Cc2cccc(Cl)c2)nn1,5.09,Alto,Rango Superior Medio - Potencia
[O-][N+]1=Cc2ccccc2C(O)C12CCCC2,6.017,Alto,Valores Bajos - Potencia
NC(CCC(=O)n1c(-c2ccc(Cl)cc2)nc2ccccc2c1=O)C(=O)O,4.984,Alto,Rango Superior Medio - Potencia
O=C1CS/C(=N\N=C2CCCC2)N1Cc1ccc(Cl)cc1,6.699,Alto,Valores Bajos - Potencia
CC(=O)C1(O)C(c2cc3oc(=O)c4cc(O)c(O)cc4c3c(=O)o2)=Cc2cc(O)c(O)cc21,4.958,Alto,Valores Altos - Potencia
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.903,Alto,Valores Altos - Potencia
O=C(CNC(=O)c1ccccc1)OCc1ccc(/C=C/c2ccc(O)c(O)c2)cc1,5.301,Alto,Rango Inferior Medio - Potencia
NC(CCC(=O)n1c(OCc2ccccc2Cl)nc2ccccc2c1=O)C(=O)O,4.969,Alto,Valores Altos - Potencia
CCOc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OCC)c2)ccc1O,7.389,Alto,Valores Bajos - Potencia
COc1c(-c2ccsc2)c(C)nn1-c1ccccc1,5.046,Alto,Rango Superior Medio - Potencia
CC1(C)CCc2cc(CC3OC(=O)C(O)=C3c3ccc(O)cc3)ccc2O1,4.954,Alto,Valores Altos - Potencia
Nc1nc(N2CCOCC2)sc1C(=O)c1cc2ccccc2oc1=O,4.858,Alto,Valores Altos - Potencia
Nc1nc(N2CCC(Cc3ccccc3)CC2)sc1C(=O)c1cc2ccccc2oc1=O,4.927,Alto,Valores Altos - Potencia
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.959,Alto,Valores Altos - Potencia
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.441,Alto,Valores Bajos - Potencia
COc1ccc(CN2CN(CC(=O)O)CSC2=S)cc1OC,4.911,Alto,Valores Altos - Potencia
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.918,Alto,Valores Altos - Potencia
CN1CCOC(O)(c2ccc3c(c2)N(C)c2ccccc2S3)C1,4.846,Alto,Valores Altos - Potencia
Oc1ccc(Cc2ccc(O)cc2)cc1,5.999,Alto,Valores Bajos - Potencia
Br.CN1CCOC(O)(c2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)C1,4.863,Alto,Valores Altos - Potencia
COc1cc(/C=N/c2cc(C(C)C)c(O)cc2C)cc(OC)c1,4.91,Alto,Valores Altos - Potencia
CC(C)(C)c1cc(CSCC(=O)O)cc(C(C)(C)C)c1O,4.986,Alto,Rango Superior Medio - Potencia
O=C(N/N=C/c1ccccc1O)OCc1ccccc1,6.0,Alto,Valores Bajos - Potencia
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.959,Alto,Valores Altos - Potencia
CN1CC(O)(c2ccc(-c3ccccc3)cc2)Sc2ccccc21,4.919,Alto,Valores Altos - Potencia
COC(=O)CCCc1nc2ccccc2c(=O)[nH]1.Cl,8.447,Alto,Valores Bajos - Potencia
NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccccc2)cc1,5.279,Alto,Rango Inferior Medio - Potencia
COc1ccc(NC(=O)CNC(=O)/C=C/c2ccc(O)c(OC)c2)cc1,4.96,Alto,Valores Altos - Potencia
COc1ccc(/C=C/C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1OC,6.751,Alto,Valores Bajos - Potencia
C/C(=N\N=C1\NC(=O)/C(=C/c2ccc(F)cc2)S1)c1nc(-c2ccccc2)[nH]c1C,7.173,Alto,Valores Bajos - Potencia
COc1cc(/C=C/CO)ccc1O[C@H](CO)[C@H](O)c1ccc(O)cc1,5.374,Alto,Rango Inferior Medio - Potencia
O=c1ccc2ccc(O)cc2o1,9.091,Alto,Valores Bajos - Potencia
COc1cc(COc2ccc(C(=O)N/N=C/c3cccc(O)c3)cc2)cc(OC)c1OC,5.36,Alto,Rango Inferior Medio - Potencia
O=C(NCc1ccco1)c1ccc(/C=C/c2ccc(O)c(O)c2)cc1,4.839,Alto,Valores Altos - Potencia
Cc1oc2cc(OCC(O)CSC(=S)N3CCOCC3)ccc2c(=O)c1C,6.148,Alto,Valores Bajos - Potencia
Cc1ccc2[nH]c3c(c2c1)CCC1(C2C(=O)Nc4ccc(Cl)cc42)NC(=O)C(C#N)=C31,5.368,Alto,Rango Inferior Medio - Potencia
COc1ccc(/C=C/C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1O,4.998,Alto,Rango Superior Medio - Potencia
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.903,Alto,Valores Altos - Potencia
COc1cc(O)c2c(c1)CCc1cc(O)ccc1-2,5.249,Alto,Rango Inferior Medio - Potencia
CC1=CC(=O)C2(O1)C(c1cc3oc(=O)c4cc(O)c(O)cc4c3c(=O)o1)=Cc1cc(O)c(O)cc12,5.08,Alto,Rango Superior Medio - Potencia
Oc1cc(Cc2ccccc2)c(Br)c(Br)c1O,4.944,Alto,Valores Altos - Potencia
N#CC1=C(N)Oc2cc(O)ccc2C1c1ccco1,5.323,Alto,Rango Inferior Medio - Potencia
COc1cc(COc2ccc(C(=O)N/N=C/c3ccc(O)cc3)cc2)cc(OC)c1OC,5.36,Alto,Rango Inferior Medio - Potencia
COc1cc(-c2nnc(C3CCc4cc(F)ccc4O3)o2)cc(OC)c1OC,4.939,Alto,Valores Altos - Potencia
COc1cc2c(cc1OC)C(=O)C(C(=O)Nc1cccc(F)c1)C2,5.247,Alto,Rango Inferior Medio - Potencia
Cc1ccc(C(C)C)cc1O,5.941,Alto,Valores Bajos - Potencia
Br.CN1CCOC(O)(c2ccc(C3CCCCC3)cc2)C1,5.279,Alto,Rango Inferior Medio - Potencia
COc1ccc(/C=C2\COc3cc(OC)ccc3C2=O)cc1,5.0,Alto,Rango Superior Medio - Potencia
COc1cccc(-c2nc(NN)n(C)c(=O)c2C#N)c1OC,5.253,Alto,Rango Inferior Medio - Potencia
CC1(C)CCC[C@@]2(C)C1=C(O)C(=O)c1c(O)c3c(c(O)c12)O[C@@H](CO)C3,4.934,Alto,Valores Altos - Potencia
COc1ccc(C2CC(=NO)CC(c3ccc(OC)cc3)N2C)cc1,5.58,Alto,Rango Inferior Medio - Potencia
O=c1cc(/C=C/c2ccc(O)cc2)oc2cc(O)ccc12,4.964,Alto,Valores Altos - Potencia
COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1,6.176,Alto,Valores Bajos - Potencia
CCN(CC)c1ccc2cc(-c3nc4cc(C5=NCCCN5)ccc4[nH]3)c(=O)oc2c1.Cl,5.041,Alto,Rango Superior Medio - Potencia
