Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Unnamed: 48,Normalized Value (nM),Log10 Value (nM),Potencia
CHEMBL1261,CITRIC ACID,4.0,192.12,0.0,-1.25,Citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O,EC50,=',74.0,ug.mL-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385175.932,5.586,Baja
CHEMBL4173167,,,332.43,1.0,5.09,12,CCCC/C(CC)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,EC50,'=',1560000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.56,,1560000.0,6.193,Baja
CHEMBL4162482,,,346.46,1.0,5.48,13,CCCCCC/C(C)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,EC50,'=',1240000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.24,,1240000.0,6.093,Baja
CHEMBL4164415,,,330.41,0.0,4.84,17,O=[N+]([O-])c1cccc(-c2csc(NN=C3CCCCCC3)n2)c1,EC50,'=',1230000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.23,,1230000.0,6.09,Baja
CHEMBL4169354,,,318.4,0.0,4.7,9,CCCC/C(C)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,EC50,'=',1460000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.46,,1460000.0,6.164,Baja
CHEMBL4165922,,,346.46,1.0,5.48,11,CCCCC/C(CC)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,EC50,'=',1470000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.47,,1470000.0,6.167,Baja
CHEMBL399764,,,302.36,0.0,4.06,14,O=[N+]([O-])c1cccc(-c2csc(NN=C3CCCC3)n2)c1,EC50,'=',1340000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.34,,1340000.0,6.127,Baja
CHEMBL4162473,,,304.38,0.0,4.31,5,CCC/C(C)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,EC50,'=',1200000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.2,,1200000.0,6.079,Baja
CHEMBL4163420,,,344.44,1.0,5.23,18,O=[N+]([O-])c1cccc(-c2csc(NN=C3CCCCCCC3)n2)c1,EC50,'=',1220000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.22,,1220000.0,6.086,Baja
CHEMBL4176538,,,318.4,0.0,4.7,10,CCC/C(CC)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,EC50,'=',1250000.0,nM,,Outside typical range,,UO_0000065,,,,,0.0,CHEMBL4141662,Antioxidant activity assessed as total antioxidant capacity after 90 mins by phosphomolybdenum method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,NO TARGET,CHEMBL4138155,1,Scientific Literature,Eur J Med Chem,2018,,,,,1.25,,1250000.0,6.097,Baja
