molecule_chembl_id,molecule_pref_name,max_phase,full_mwt,num_ro5_violations,alogp,compound_key,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,uo_units,ligand_efficiency,ligand_efficiency_bei,ligand_efficiency_le,ligand_efficiency_lle,ligand_efficiency_sei,potential_duplicate,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_organism,assay_tissue_chembl_id,assay_tissue_name,assay_cell_type,assay_subcellular_fraction,assay_parameters,assay_variant_accession,assay_variant_mutation,target_chembl_id,target_pref_name,target_organism,target_type,document_chembl_id,src_id,src_description,document_journal,document_year,cell_chembl_id,properties,action_type,standard_text_value,value
CHEMBL14193,4-HYDROXYBENZALDEHYDE,,122.12,0,1.20,,O=Cc1ccc(O)cc1,EC50,>,250000.0,nM,,Outside typical range,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,250.0
CHEMBL222021,PROTOCATECHUALDEHYDE,,138.12,0,0.91,,O=Cc1ccc(O)c(O)c1,EC50,=,6570.0,nM,5.18,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,6.57
CHEMBL3415884,,,154.12,0,0.62,,O=Cc1cc(O)c(O)cc1O,EC50,=,5970.0,nM,5.22,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,5.97
CHEMBL254710,,,154.12,0,0.62,,O=Cc1cc(O)c(O)c(O)c1,EC50,=,15350.0,nM,4.81,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,15.35
CHEMBL3415885,,,264.19,,,,NNC(=[Se])Nc1cccc2ccccc12,EC50,=,6650.0,nM,5.18,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,6.65
CHEMBL456610,,,271.35,0,2.71,,Oc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,EC50,=,90100.0,nM,4.04,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,90.1
CHEMBL3415886,,,287.34,0,2.42,,Oc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1O,EC50,=,9270.0,nM,5.03,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,9.27
CHEMBL2296747,,,303.34,0,2.12,,Oc1cc(O)c(/C=N/NC(=S)Nc2ccccc2)cc1O,EC50,=,13900.0,nM,4.86,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,13.9
CHEMBL3415887,,,303.34,0,2.12,,Oc1cc(/C=N/NC(=S)Nc2ccccc2)cc(O)c1O,EC50,=,7000.0,nM,5.16,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,7.0
CHEMBL3415888,,,318.24,,,,Oc1ccc(/C=N/NC(=[Se])Nc2ccccc2)cc1,EC50,=,27800.0,nM,4.56,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,27.8
CHEMBL3415889,,,334.24,,,,Oc1ccc(/C=N/NC(=[Se])Nc2ccccc2)cc1O,EC50,=,8770.0,nM,5.06,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,8.77
CHEMBL3415890,,,350.24,,,,Oc1cc(/C=N/NC(=[Se])Nc2ccccc2)cc(O)c1O,EC50,=,4870.0,nM,5.31,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,4.87
CHEMBL3415891,,,368.30,,,,Oc1ccc(/C=N/NC(=[Se])Nc2cccc3ccccc23)cc1,EC50,=,21670.0,nM,4.66,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,21.67
CHEMBL3415892,,,384.30,,,,Oc1ccc(/C=N/NC(=[Se])Nc2cccc3ccccc23)cc1O,EC50,=,18170.0,nM,4.74,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,18.17
CHEMBL3415893,,,400.30,,,,Oc1cc(O)c(/C=N/NC(=[Se])Nc2cccc3ccccc23)cc1O,EC50,=,10700.0,nM,4.97,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,10.7
CHEMBL3415894,,,400.30,,,,Oc1cc(/C=N/NC(=[Se])Nc2cccc3ccccc23)cc(O)c1O,EC50,=,8870.0,nM,5.05,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,8.87
