dilution ;comparison;ABTS_estimate;ABTS_pvalue;DPPH_estimate;DPPH_pvalue
10;Cannabis_sativa_(oscura)-Cannabis_sativa_(citrica);0,02699971;1,00E+00;0,46498459;8,15E-01
10;Humulus_lupulus_(fruto)-Cannabis_sativa_(citrica);-2,5271725;2,47E-09;0,98809225;1,67E-01
10;Humulus_lupulus_(Hoja)-Cannabis_sativa_(citrica);-6,2963316;1,36E-13;-1,73611094;6,31E-03
10;Trema_micrantha_(flor)-Cannabis_sativa_(citrica);-6,0857339;1,94E-13;2,67366138;1,47E-04
10;Trema_micrantha_(hoja)-Cannabis_sativa_(citrica);-0,1349985;8,93E-01;2,67113429;1,48E-04
10;Humulus_lupulus_(fruto)-Cannabis_sativa_(oscura);-2,5541722;2,19E-09;0,52310766;7,36E-01
10;Humulus_lupulus_(Hoja)-Cannabis_sativa_(oscura);-6,3233313;1,30E-13;-2,20109552;8,94E-04
10;Trema_micrantha_(flor)-Cannabis_sativa_(oscura);-6,1127336;1,85E-13;2,20867679;8,67E-04
10;Trema_micrantha_(hoja)-Cannabis_sativa_(oscura);-0,1619982;8,02E-01;2,2061497;8,76E-04
10;Humulus_lupulus_(Hoja)-Humulus_lupulus_(fruto);-3,769159;8,69E-12;-2,72420318;1,23E-04
10;Trema_micrantha_(flor)-Humulus_lupulus_(fruto);-3,5585613;1,79E-11;1,68556913;7,88E-03
10;Trema_micrantha_(hoja)-Humulus_lupulus_(fruto);2,392174;4,53E-09;1,68304204;7,96E-03
10;Trema_micrantha_(flor)-Humulus_lupulus_(Hoja);0,21059771;5,94E-01;4,40977232;7,91E-07
10;Trema_micrantha_(hoja)-Humulus_lupulus_(Hoja);6,16133304;1,70E-13;4,40724523;7,96E-07
10;Trema_micrantha_(hoja)-Trema_micrantha_(flor);5,95073533;2,44E-13;-0,00252709;1,00E+00
50;Cannabis_sativa_(oscura)-Cannabis_sativa_(citrica);4,99494572;4,46E-01;0,24007356;9,99E-01
50;Humulus_lupulus_(fruto)-Cannabis_sativa_(citrica);-7,640917;1,05E-01;3,84117703;2,57E-03
50;Humulus_lupulus_(Hoja)-Cannabis_sativa_(citrica);-24,893729;7,54E-06;-8,85745099;6,55E-07
50;Trema_micrantha_(flor)-Cannabis_sativa_(citrica);-25,271725;6,42E-06;9,91882885;1,84E-07
50;Trema_micrantha_(hoja)-Cannabis_sativa_(citrica);4,72494865;5,02E-01;11,42244749;3,65E-08
50;Humulus_lupulus_(fruto)-Cannabis_sativa_(oscura);-12,635863;4,43E-03;3,60110347;4,32E-03
50;Humulus_lupulus_(Hoja)-Cannabis_sativa_(oscura);-29,888675;1,05E-06;-9,09752455;4,87E-07
50;Trema_micrantha_(flor)-Cannabis_sativa_(oscura);-30,266671;9,12E-07;9,67875529;2,42E-07
50;Trema_micrantha_(hoja)-Cannabis_sativa_(oscura);-0,2699971;1,00E+00;11,18237393;4,65E-08
50;Humulus_lupulus_(Hoja)-Humulus_lupulus_(fruto);-17,252813;2,99E-04;-12,69862802;1,14E-08
50;Trema_micrantha_(flor)-Humulus_lupulus_(fruto);-17,630808;2,44E-04;6,07765182;3,63E-05
50;Trema_micrantha_(hoja)-Humulus_lupulus_(fruto);12,3658656;5,24E-03;7,58127046;3,58E-06
50;Trema_micrantha_(flor)-Humulus_lupulus_(Hoja);-0,3779959;1,00E+00;18,77627984;7,79E-11
50;Trema_micrantha_(hoja)-Humulus_lupulus_(Hoja);29,6186781;1,16E-06;20,27989848;2,27E-11
50;Trema_micrantha_(hoja)-Trema_micrantha_(flor);29,996674;1,01E-06;1,50361864;3,89E-01
